favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1168,Twitter for Android,"""@Tar_Heel_73: @realDonaldTrump We shouldn't be surprised.No leadership in the White House.Glad @realDonaldTrump will #MakeAmericaGreatAgain",,False,Mon Nov 02 02:27:31 +0000 2015,520,661006692453339136
1084,Twitter Web Client,It is time to bring competence to Washington. It is time get results. Let’s Make America Great Again! https://t.co/u25yI6aIvG,,False,Thu Jul 02 19:47:31 +0000 2015,572,616694712213176320
100559,Twitter for iPhone,"Senator Cryin’ Chuck Schumer fought hard against the Bad Iran Deal, even going at it with President Obama, &amp; then V… https://t.co/VjBpbVfIbi",,False,Thu May 10 14:30:27 +0000 2018,24524,994585463380987904
46152,Twitter for Android,"I am going to repeal and replace ObamaCare. We will have MUCH less expensive and MUCH better healthcare. With Hillary, costs will triple!",,False,Wed Nov 02 11:00:30 +0000 2016,15757,793769750056677376
22174,Twitter for Android,"I am watching Crooked Hillary speak. Same old stuff, our country needs change!",,False,Fri Jul 29 17:43:52 +0000 2016,5999,759082026687352834
40499,Twitter for iPhone,Thank you Ohio! When you enter the voting booth tomorrow you will be making a simple choice. A vote for Republicans… https://t.co/tQRwV9W36n,,False,Mon Nov 05 21:26:24 +0000 2018,10868,1059557569818181632
35320,Twitter for Android,"Wow, the ratings are in and Arnold Schwarzenegger got ""swamped"" (or destroyed) by comparison to the ratings machine, DJT. So much for....",,False,Fri Jan 06 12:34:37 +0000 2017,8266,817348644647108609
5080,Twitter for Android,".@Macys was one of the worst performing stocks on the S&amp;P last year, plunging 46%. Very disloyal company. Another win for Trump! Boycott.",,False,Thu Jan 07 11:15:54 +0000 2016,1787,685057265989189632
101560,Twitter for iPhone,All of America is in mourning over the mass murder of Jewish Americans at the Tree of Life Synagogue in Pittsburgh.… https://t.co/nVJl6YOdFb,,False,Sat Oct 27 21:41:35 +0000 2018,23201,1056299896406450176
7677,Twitter for Android,"Ted Cruz is totally unelectable, if he even gets to run (born in Canada). Will loose big to Hillary. Polls show I beat Hillary easily! WIN!",,False,Sun Jan 31 13:06:25 +0000 2016,2892,693782388564865024
7805,Twitter for iPhone,"THANK YOU LAS VEGAS, NEVADA!
#NevadaCaucus #VoteTrumpNV
https://t.co/cZlNRrFtW3 https://t.co/scdxT24Dye",,False,Tue Feb 23 05:19:29 +0000 2016,2703,701999802033111040
135684,Twitter for Android,I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!,,False,Sun Feb 05 20:42:33 +0000 2017,25695,828343072840900610
20007,Twitter for iPhone,#ImWithYou #AmericaFirst https://t.co/Ne4pI7FyU7,,False,Tue Sep 13 22:09:30 +0000 2016,9621,775818716596477952
30586,Twitter for iPhone,Thank you for you support Virginia! In ONE DAY - get out and #VoteTrumpPence16! #ICYMI: https://t.co/Nid8qcFTwY https://t.co/WOsEcjM8sm,,False,Mon Nov 07 06:35:39 +0000 2016,11327,795515037632921601
73426,Twitter for iPhone,"Cosumer confidence highest in 18 years, Atlanta Fed forecasts 4.7 GDP, manufacturing jobs highest in many years. “I… https://t.co/auc4BehRcF",,False,Thu Sep 06 11:31:19 +0000 2018,17838,1037664539284844545
100492,Twitter for iPhone,We are sealing up our Southern Border. The people of our great country want Safety and Security. The Dems have been… https://t.co/N1O7JKAiR7,,False,Sat Apr 07 18:11:15 +0000 2018,22368,982682227581636608
70919,Twitter for iPhone,"Today, in the center of this great Chamber lies Billy Graham – an Ambassador for Christ who reminded the world of t… https://t.co/1pVcsV0cam",,False,Wed Feb 28 17:10:22 +0000 2018,16183,968896168230051850
53381,Twitter for Android,"much worse - just look at Syria (red line), Crimea, Ukraine and the build-up of Russian nukes. Not good! Was this the leaker of Fake News?",,False,Mon Jan 16 00:29:05 +0000 2017,12510,820789938887294977
4237,Twitter Web Client,".@Morning_Joe  @mikebarnicle on @realDonaldTrump: He finished 2nd but he made the turn successfully like a pro""",,False,Tue Feb 02 19:15:55 +0000 2016,1176,694600151894212608
4753,Twitter for Android,"""@BirgitOlsen1: @realDonaldTrump @Justice41ca  @Vote_For_Trump EVERYBODY ON TWITTER GET OUT TO VOTE FOR TRUMP TODAY IN SOUTH CAROLINA""",,False,Sat Feb 20 15:18:07 +0000 2016,1724,701063288193421312
22134,Twitter for iPhone,I will be watching the great Governor @Mike_Pence and live tweeting the VP debate tonight starting at 8:30pm est! Enjoy!,,False,Tue Oct 04 19:40:44 +0000 2016,6455,783391423663964160
122743,Twitter for iPhone,So it was indeed (just proven in court papers) “last in his class” (Annapolis) John McCain that sent the Fake Dossi… https://t.co/vuXGVxaT8m,,False,Sun Mar 17 12:41:15 +0000 2019,33347,1107260609974943745
13941,Twitter for Android,"""@SheriffClarke: https://t.co/G9R9CGhf8q Everything coming from this administration is a lie. Only @realDonaldTrump will change it""",,False,Fri Aug 12 03:59:11 +0000 2016,5761,763947916184522754
332,Twitter for Android,"""@MrdannyArthur: @Paul_Beiss @Lg4Lg @seanhannity  @SenJohnMcCain Phoenix VA, led the league in scandals! McCain knew! Did nothing!""",,False,Tue Jul 21 05:40:17 +0000 2015,166,623366869492350977
112844,Twitter for iPhone,"DACA is probably dead because the Democrats don’t really want it, they just want to talk and take desperately neede… https://t.co/gZRLa3KopW",,False,Sun Jan 14 13:09:09 +0000 2018,24613,952528011869478912
83445,Twitter for iPhone,....The United States should not be penalized because we are doing so well. Tightening now hurts all that we have d… https://t.co/JyqbjUhcfX,,False,Fri Jul 20 12:51:45 +0000 2018,18672,1020290163933630464
196203,Twitter for iPhone,HAPPY EASTER!,,False,Sun Apr 01 12:27:02 +0000 2018,37153,980421275326865409
14573,Twitter for iPhone,"WikiLeaks reveals Clinton camp’s work with ‘VERY friendly and malleable reporters’ 
#DrainTheSwamp #CrookedHillary
https://t.co/bcYLslrxi0",,False,Fri Oct 21 22:46:37 +0000 2016,8456,789598795315150853
1891,Twitter for Android,"""@wallen_jeanine: @realDonaldTrump I can only watch Hannity. I think he is the only one in your corner""",,False,Tue Sep 22 02:34:51 +0000 2015,931,646150636472565760
1864,Twitter for Android,"""@sternbutgreg: @realDonaldTrump is pulling away from the pack. I live in Iowa. It's real."" Thank you!",,False,Thu Oct 01 03:02:54 +0000 2015,806,649419187719434240
112887,Twitter for iPhone,"Just spoke to Mary Barra, CEO of General Motors about the Lordstown Ohio plant. I am not happy that it is closed wh… https://t.co/2u14Ul3CVA",,False,Sun Mar 17 22:27:27 +0000 2019,24255,1107408129619382277
28174,Twitter Web Client,"Yet another terrorist attack, this time in Turkey. Will
the world ever realize what is going on? So sad.",,False,Tue Jun 28 21:08:51 +0000 2016,10687,747899586593890309
26306,Twitter for Android,"So I raised/gave $5,600,000 for the veterans and the media makes me look bad! They do anything to belittle - totally biased.",,False,Wed Jun 01 13:17:58 +0000 2016,8244,737996614573260800
